,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
112,Bilma,NE,63.32,clear sky,18.69,12.92,Expeditions Ténére voyages
117,Port Lincoln,AU,62.69,overcast clouds,-34.73,135.87,Port Lincoln Hotel
119,Rio Grande,BR,67.78,scattered clouds,-32.03,-52.1,Swan Express Rio Grande
121,Fortuna,US,57.0,few clouds,40.6,-124.16,Super 8 By Wyndham Fortuna
122,Sao Filipe,CV,70.25,clear sky,14.9,-24.5,Tortuga B&B
123,Mawlaik,MM,55.96,clear sky,23.63,94.42,AKZ Guest House
127,Constitucion,CL,57.2,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
129,Mar Del Plata,AR,61.0,shower rain,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
131,Cidreira,BR,73.18,scattered clouds,-30.18,-50.21,Novomar Pousada e Turismo Ltda
138,Kasongo-Lunda,CD,70.5,broken clouds,-6.47,16.82,
139,Lompoc,US,71.6,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
147,Port Elizabeth,ZA,66.2,few clouds,-33.92,25.57,39 On Nile Guest House
156,Kaitangata,NZ,72.0,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
158,Jinotega,NI,72.68,few clouds,13.09,-86.0,Camping Piedra Grande
161,Gandai,IN,64.96,clear sky,21.67,81.1,Jain medical stores Gandai
